acc_x_mean,acc_x_std,acc_y_mean,acc_y_std,acc_z_mean,acc_z_std,acc_sma,dom_freq,spectral_energy,activity,sample_id,window_idx
6.392433221442531,-7.497086483496006,1.2746463493265288,6.162083106978748,6.546707374888239,1.6007630148755396,1026.1661069482373,0.0,28663.11756265419,jumping,jumping_02,8
6.194671880867746,-7.382356376885766,1.211769805035808,6.504975460253796,6.867485434072364,1.5193830703959421,1026.9452976596758,0.0,29079.243067186177,jumping,jumping_02,9
6.3592222617431124,-7.4180251484115916,1.388025962418378,6.968964222579902,7.060504339515443,1.6133340965376115,1051.30886336201,0.0,30806.98968701284,jumping,jumping_02,10
6.32394474217988,-7.423612923634173,1.3094601122417835,6.649054487569035,6.835775181264914,1.535839223331767,1036.707172641165,0.0,29677.410879698346,jumping,jumping_02,11
6.096889448211049,-7.207402363805232,1.1119948429822206,6.383446592606097,6.550898927365461,1.2979446491091886,1000.3149283367578,0.0,27501.57634426047,jumping,jumping_02,12
6.575639793066063,-7.282033063090322,1.0214648701255258,6.676795201604602,7.129293588961471,1.5386386321427943,1044.8874139422246,0.0,30341.211114487676,jumping,jumping_02,13
8.19607017625763,-5.880882810036924,2.627849490278297,6.889437822626732,5.92523892826706,2.478847210918397,1145.7546736061877,0.0,32800.63670889161,jumping,jumping_02,14
5.945248857540351,-4.213129218065679,3.585674933712892,5.68232391783713,4.274581071040695,2.448189437619967,930.3343628082033,0.0,20870.89948553261,jumping,jumping_03,0
6.302333827121089,-6.4133417122442316,2.8562326252159447,5.789971297782852,5.360363605000859,2.814634878961378,975.1932325849175,0.0,25365.346982036615,jumping,jumping_03,1
6.301655562542793,-7.024942056097165,3.1439952323533067,5.925500963988378,6.2537577635176955,3.050440803475087,1018.1655398765795,0.0,28535.88070241955,jumping,jumping_03,2
6.447561845737227,-7.334484763518728,2.4631133138230354,6.357587361354869,6.42992640702212,2.6293206131086153,1045.616540395491,0.0,29864.336395718146,jumping,jumping_03,3
6.422284620074376,-7.219028071585027,1.3870410311101662,6.191252314467771,6.316604450852695,1.9479622951758178,1031.881741486479,0.0,28308.987009354383,jumping,jumping_03,4
6.31619527364018,-7.149882451640536,0.8567679715860221,6.20203210545087,6.392878379261408,1.0871985450793618,998.8201423479948,0.0,27131.407955109564,jumping,jumping_03,5
6.632363565491907,-7.277455845490248,0.8832914420977386,6.529861311457456,6.268292767717229,1.1786754705447535,1026.4930251341823,0.0,28567.174165912515,jumping,jumping_03,6
6.54430345857911,-6.9890164979780565,0.6903172472275493,6.4289159798059625,6.182186223556631,1.2524031696634677,1004.931830432082,0.0,27354.51729666039,jumping,jumping_03,7
6.451580063844419,-7.069884501743328,0.7784800772705689,6.428786860051086,6.5320982351522,1.270626794209303,1006.2153829738066,0.0,27831.547714231547,jumping,jumping_03,8
6.624842203400954,-7.140034672557235,0.6647620854165518,6.7479705950334825,6.581734463042069,1.010241183521159,1010.8417035458392,0.0,28654.57187715842,jumping,jumping_03,9
6.762816241820051,-6.903099949913796,0.5255901360921938,7.0986282700322025,6.371800904725657,0.872882341836647,996.1647671598167,0.0,28379.915568136843,jumping,jumping_03,10
6.643046713368308,-6.987076878698185,0.7556681916719735,7.080379271790108,6.3485078855995685,1.0118131074321044,1007.8308136555476,0.0,28572.732668762335,jumping,jumping_03,11
6.560884052821708,-6.989857944876257,0.8631699833303991,7.249962699816756,6.542471969926826,0.943955745213223,1014.7445684885528,0.0,29102.617806100134,jumping,jumping_03,12
6.794797537688429,-6.985626710484726,0.815886055316889,7.343867201889314,6.742078190160041,1.0131626249240013,1024.026465877075,0.0,30000.75014325835,jumping,jumping_03,13
